[  935.236275] cmpe283_1: loading out-of-tree module taints kernel.
[  935.236465] cmpe283_1: module verification failed: signature and/or required key missing - tainting kernel
[  935.237587] CMPE 283 Assignment 1 Module Start
[  935.237600] Pinbased Controls MSR: 0x3f00000016
[  935.237607]   External Interrupt Exiting: Can set=Yes, Can clear=Yes
[  935.237609]   NMI Exiting: Can set=Yes, Can clear=Yes
[  935.237611]   Virtual NMIs: Can set=Yes, Can clear=Yes
[  935.237613]   Activate VMX Preemption Timer: Can set=No, Can clear=Yes
[  935.237616]   Process Posted Interrupts: Can set=No, Can clear=Yes
[  935.237621] Primary ProcessorBased VM-Execution Controls MSR: 0xfff9fffe0401e172
[  935.237625]   Interrupt-window exiting: Can set=Yes, Can clear=Yes
[  935.237628]   Use TSC offsetting: Can set=Yes, Can clear=Yes
[  935.237631]   HLT exiting: Can set=Yes, Can clear=Yes
[  935.237634]   INVLPG exiting: Can set=Yes, Can clear=Yes
[  935.237637]   MWAIT exiting: Can set=Yes, Can clear=Yes
[  935.237639]   RDPMC exiting: Can set=Yes, Can clear=Yes
[  935.237642]   RDTSC exiting: Can set=Yes, Can clear=Yes
[  935.237644]   CR3-load exiting: Can set=Yes, Can clear=No
[  935.237647]   CR3-store exiting: Can set=Yes, Can clear=No
[  935.237650]   Activate tertiary controls: Can set=No, Can clear=Yes
[  935.237653]   CR8-load exiting: Can set=Yes, Can clear=Yes
[  935.237655]   CR8-store exiting: Can set=Yes, Can clear=Yes
[  935.237658]   Use TPR shadow: Can set=Yes, Can clear=Yes
[  935.237661]   NMI-window exiting: Can set=Yes, Can clear=Yes
[  935.237663]   MOV-DR exiting: Can set=Yes, Can clear=Yes
[  935.237666]   Unconditional I/O exiting: Can set=Yes, Can clear=Yes
[  935.237669]   Use I/O bitmaps: Can set=Yes, Can clear=Yes
[  935.237672]   Monitor trap flag: Can set=Yes, Can clear=Yes
[  935.237675]   MONITOR exiting: Can set=Yes, Can clear=Yes
[  935.237785]   PAUSE exiting: Can set=Yes, Can clear=Yes
[  935.237789]   Activate secondary controls: Can set=Yes, Can clear=Yes
[  935.237797] Secondary ProcessorBased VM-Execution Controls MSR: 0x553cfe00000000
[  935.237803]   Virtualize APIC accesses: Can set=No, Can clear=Yes
[  935.237806]   Enable EPT: Can set=Yes, Can clear=Yes
[  935.237809]   Descriptor-table exiting: Can set=Yes, Can clear=Yes
[  935.237812]   Enable RDTSCP: Can set=Yes, Can clear=Yes
[  935.237814]   Virtualize x2APIC mode: Can set=Yes, Can clear=Yes
[  935.237816]   Enable VPID: Can set=Yes, Can clear=Yes
[  935.237819]   WBINVD exiting: Can set=Yes, Can clear=Yes
[  935.237822]   Unrestricted guest: Can set=Yes, Can clear=Yes
[  935.237824]   APIC-register virtualization: Can set=No, Can clear=Yes
[  935.237828]   Virtual-interrupt delivery: Can set=No, Can clear=Yes
[  935.237830]   PAUSE-loop exiting: Can set=Yes, Can clear=Yes
[  935.237833]   RDRAND exiting: Can set=Yes, Can clear=Yes
[  935.237836]   Enable INVPCID: Can set=Yes, Can clear=Yes
[  935.237838]   Enable VM functions: Can set=Yes, Can clear=Yes
[  935.237841]   VMCS shadowing: Can set=No, Can clear=Yes
[  935.237844]   Enable ENCLS exiting: Can set=No, Can clear=Yes
[  935.237847]   RDSEED exiting: Can set=Yes, Can clear=Yes
[  935.237850]   Enable PML: Can set=No, Can clear=Yes
[  935.237852]   EPT-violation #VE: Can set=Yes, Can clear=Yes
[  935.237855]   Conceal VMX from PT: Can set=No, Can clear=Yes
[  935.237858]   Enable XSAVES/XRSTORS: Can set=Yes, Can clear=Yes
[  935.237861]   Mode-based execute control for EPT: Can set=Yes, Can clear=Yes
[  935.237864]   Sub-page write permissions for EPT: Can set=No, Can clear=Yes
